Confidence_Cutoff,AUC,Brier_Score,N_Samples,Task,Method
0.55,0.47171097477845925,0.33125726621178947,432,Task_1,nn_deep_ensemble
0.6000000000000001,0.5281508264462808,0.35925273721760914,471,Task_1,nn_deep_ensemble
0.6500000000000001,0.4828807556080281,0.3388957299254424,510,Task_1,nn_deep_ensemble
0.7000000000000001,0.446896853146853,0.3233971166393873,549,Task_1,nn_deep_ensemble
0.7500000000000001,0.5696145124716553,0.3298119676468528,589,Task_1,nn_deep_ensemble
0.8,0.5985640508880212,0.30337436987758576,628,Task_1,nn_deep_ensemble
0.8500000000000001,0.5989023297491041,0.30900189443443565,667,Task_1,nn_deep_ensemble
0.9000000000000001,0.6541615773861456,0.3158122495831124,706,Task_1,nn_deep_ensemble
0.9500000000000001,0.6947293447293449,0.31813337559957117,745,Task_1,nn_deep_ensemble
1.0,0.7313751514801776,0.30969245313442134,784,Task_1,nn_deep_ensemble
